0	1.0	1.0	0.3076923076923077	1.0	1.0	1.0	1.0	0.0	1.0	1.0	
1.0	0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
1.0	0.0	0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
0.3076923076923077	1.0	1.0	0	1.0	1.0	1.0	1.0	0.3076923076923077	1.0	1.0	
1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.4230769230769231	0.4230769230769231	
1.0	0.0	0.0	1.0	1.0	0	0.0	0.0	1.0	1.0	1.0	
1.0	0.0	0.0	1.0	1.0	0.0	0	0.0	1.0	1.0	1.0	
1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	1.0	1.0	1.0	
0.0	1.0	1.0	0.3076923076923077	1.0	1.0	1.0	1.0	0	1.0	1.0	
1.0	1.0	1.0	1.0	0.4230769230769231	1.0	1.0	1.0	1.0	0	0.0	
1.0	1.0	1.0	1.0	0.4230769230769231	1.0	1.0	1.0	1.0	0.0	0	
