1	1	695
3	1	663
4	1	576
5	1	1641
7	1	990
8	1	532
10	1	38
11	1	166
12	1	2147
13	1	459
15	1	313
16	1	156
18	1	342
19	1	1413
20	1	550
21	1	125
22	1	127
22	2	73
23	1	281
25	1	552
27	1	456
28	1	491
29	1	189
30	1	116
31	1	40
32	1	499
33	1	54
35	1	111
37	1	140
38	1	257
39	1	352
40	1	1710
41	1	686
42	1	1585
43	1	1658
44	1	741
45	1	554
46	1	873
47	1	1035
48	1	402
49	1	1171
50	1	389
51	1	726
52	1	67
53	1	131
55	1	7
57	1	515
58	1	533
59	1	832
60	1	2333
61	1	1501
62	1	67
63	1	114
63	2	41
64	1	4268
65	1	58
66	1	180
68	1	1581
69	1	222
70	1	345
71	1	424
72	1	409
73	1	783
74	1	627
74	2	402
75	1	349
75	2	110
76	1	963
76	2	298
77	1	347
78	1	839
79	1	69
80	1	39
81	1	491
82	1	16
83	1	447
84	1	137
85	1	526
86	1	451
87	1	1076
88	1	124
89	1	30
90	1	627
92	1	1147
94	1	716
95	1	644
96	1	495
98	1	721
99	1	203
100	1	13
101	1	326
102	1	437
103	1	1
104	1	264
105	1	20
107	1	313
109	1	732
111	1	863
111	2	975
112	1	310
113	1	1256
114	1	608
115	1	692
116	1	742
117	1	1116
118	1	86
119	1	40
120	1	38
121	1	30
122	1	276
123	1	29
124	1	205
126	1	22
127	1	256
128	1	76
129	1	421
130	1	1511
130	2	1087
131	1	516
134	1	471
135	1	337
136	1	28
137	1	929
137	2	47
139	1	858
140	1	222
141	1	403
142	1	440
144	1	231
145	1	6
146	1	79
147	1	81
149	1	281
150	1	13
151	1	8
152	1	118
154	1	961
155	1	365
156	1	331
157	1	653
158	1	58
159	1	525
160	1	368
161	1	542
163	1	81
164	1	43
168	1	416
169	1	740
170	1	679
172	1	5
173	1	578
174	1	1846
175	1	291
176	1	276
177	1	74
178	1	298
181	1	319
182	1	103
183	1	98
184	1	318
185	1	58
186	1	438
186	2	66
187	1	239
187	2	162
189	1	145
190	1	34
191	1	34
193	1	50
194	1	3033
195	1	867
198	1	286
199	1	189
201	1	59
202	1	174
204	1	109
204	2	25
206	1	100
207	1	1302
208	1	791
209	1	63
213	1	868
216	1	7
217	1	179
218	1	106
219	1	331
220	1	220
221	1	71
222	1	80
223	1	854
224	1	120
226	1	25
227	1	152
228	1	501
229	1	350
230	1	188
231	1	162
231	2	56
232	1	688
233	1	1292
234	1	1003
235	1	277
235	2	82
236	1	414
236	2	47
237	1	57
239	1	406
240	1	7
241	1	802
242	1	175
243	1	6
244	1	34
245	1	306
246	1	704
247	1	296
248	1	337
249	1	680
250	1	152
251	1	1175
252	1	1319
252	2	4
252	3	6
253	1	803
255	1	459
256	1	865
257	1	1109
258	1	470
259	1	967
260	1	364
261	1	209
262	1	24
267	1	823
268	1	197
269	1	157
270	1	372
271	1	37
273	1	47
276	1	273
278	1	136
279	1	124
280	1	205
281	1	355
282	1	115
283	1	114
284	1	1083
285	1	354
286	1	633
287	1	862
288	1	530
288	2	234
291	1	309
