725069	617702	613431	603202	481148	576946	1035013	762068	754348	600269	527169	580146	549105	820357	516875	787055	560511	708537	494210	432176	886313	778348	764716	1001552	532141	697789	642856	1499304	
17580	20572	18569	19068	25449	20330	13080	19530	19074	23312	26015	24569	25672	18478	24474	18946	24519	22457	26255	28846	15576	21477	22545	13936	32275	22660	25403	5692	
18121	20820	18599	19343	25489	19954	13354	19179	18588	22899	25079	23274	24553	18240	23677	18091	24213	21653	25491	28570	15906	21692	22313	13809	31789	21837	24385	5285	
18226	21164	18816	19912	25002	19537	13389	18693	18304	22015	23667	23001	24534	18334	23328	17883	23609	20683	25935	28214	15510	21177	22769	13916	31197	20907	23544	5050	
18561	21166	18916	19952	24290	19767	13839	18480	18325	21999	23800	22749	23505	18344	23141	17903	23082	20710	24691	28245	15469	21615	22544	14184	31091	20258	23390	4799	
17856	20342	17934	19262	23473	19451	13355	18290	17760	20919	23018	22469	22589	18104	22606	17483	22843	19602	23951	27377	15178	20855	21976	14249	29030	19777	22802	4634	
17545	19948	17266	18769	22005	18288	12963	17920	17291	20224	21714	20975	21444	16558	21034	16646	21483	18478	22581	26832	14799	19850	20071	13777	27140	19238	21524	4250	
16184	17998	15678	17127	19180	16688	11948	16777	16655	18491	19862	19037	20016	16042	20032	15741	20052	17350	20961	24453	13555	17946	18285	13299	23903	18079	20045	3794	
14486	16009	14093	15295	17197	15303	10792	15548	15311	16866	18443	17993	18035	14764	18507	14296	18695	15420	18963	21698	12325	16042	16099	11970	20727	16417	17602	3144	
12467	13943	11748	13241	14967	13025	9327	13824	13794	15398	16712	15890	16233	12926	17059	12998	16518	13279	16230	18721	11061	14433	13554	10534	16985	14375	14790	2790	
10020	11391	9429	11016	12126	10669	7470	11960	11888	13417	14710	13665	14281	11230	14931	11497	13746	11124	13858	15013	9417	12648	10719	8991	13348	12571	12624	2324	
8323	9527	8046	9257	10132	8650	5954	10305	10505	11744	12667	11858	12554	9886	12895	10236	11595	9760	12305	12367	7527	12514	8826	8205	10664	10484	10825	1925	
9266	10409	8527	9327	10650	8510	5786	10390	10651	11707	13006	11978	12656	9864	12948	9774	11865	10328	12340	11960	7497	14532	9387	9149	11183	10794	11364	1922	
11716	13065	11092	11479	12852	9803	6450	11378	11857	13776	14502	13378	14038	11104	13890	10553	12878	12409	14422	13594	8024	19321	11790	12155	14326	11764	13639	2211	
16522	18433	16380	16069	17334	12863	8638	13917	14732	17683	17740	16154	17910	14446	16608	13021	16341	16748	18225	18194	10286	26578	17452	17420	20594	15112	19031	3063	
23814	27806	24728	23169	25899	19423	13310	18892	20157	24364	23666	21750	25035	20181	22484	18193	22490	25515	24894	26626	15078	34975	26247	23769	29982	20867	28094	4297	
33752	39435	36496	34307	39176	29912	20038	27441	28500	34327	35876	32541	36180	29143	32845	27623	33700	35989	35137	39087	22490	40877	36768	30612	42288	29890	40282	6822	
42961	49692	48034	46613	53761	45216	28448	39545	39983	48209	50767	47318	51266	39732	49339	40043	47955	47232	49506	54570	33300	40892	43864	34996	50861	43235	51620	11243	
43065	49773	52337	53633	62488	58647	33490	52276	51439	59880	63686	61579	62756	46326	65156	50762	61831	52140	61401	66096	44179	31289	42994	30644	49025	54983	54523	16155	
30980	34018	40320	44587	51061	57598	28785	54903	52977	57026	63662	64492	60178	42732	68913	50553	61543	41637	63400	57916	46507	16207	28105	18224	33147	57529	40711	18661	
11333	12888	15986	20492	24405	34059	12878	33933	32060	31590	37693	38777	35096	22300	42879	30742	33255	19075	38667	28445	27898	4507	9271	5971	12474	35835	16588	13097	
