0	118	158	123	76	62	77	74	53	43	54	28	40	37	23	25	20	18	17	22	109	33	123	0	0	0	0	0	0	
22	223	97	71	42	35	22	25	32	41	43	42	43	42	38	34	38	21	23	28	13	18	17	10	6	13	11	56	90	
25	147	71	48	21	22	20	16	16	31	36	26	19	37	34	35	48	26	29	30	21	23	36	44	50	23	130	0	0	
34	190	73	69	39	51	41	28	36	43	48	39	44	40	40	28	29	30	15	18	22	13	15	26	86	0	0	0	0	
87	185	83	66	41	33	46	41	45	36	41	45	38	49	37	28	27	30	20	14	18	27	43	69	167	0	0	0	0	
0	119	81	63	37	47	40	47	52	48	46	64	52	38	49	42	39	31	36	18	13	15	20	119	108	0	0	0	0	
0	71	47	48	52	40	50	64	61	59	49	48	40	26	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	218	85	62	33	25	29	40	34	51	35	37	47	37	29	29	48	34	27	13	18	18	21	126	0	0	0	0	0	
0	184	55	30	33	51	64	112	117	138	130	111	125	100	98	335	207	437	0	0	0	0	0	0	0	0	0	0	0	
2	158	58	54	35	38	39	46	55	78	62	58	71	66	57	41	42	27	27	68	253	144	0	0	0	0	0	0	0	
0	219	73	51	31	27	20	19	30	49	36	38	44	51	45	49	41	31	27	27	20	16	20	17	12	20	180	0	0	
1	227	129	78	63	83	71	78	62	42	33	14	16	22	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	139	83	48	47	40	42	51	56	46	47	35	35	35	29	34	26	22	20	13	10	19	9	161	0	0	0	0	0	
6	310	82	43	33	29	45	56	46	52	58	41	33	40	37	38	47	35	26	28	163	0	0	0	0	0	0	0	0	
49	229	219	159	116	90	90	70	49	40	40	36	23	19	31	30	45	32	35	27	29	54	112	110	0	0	0	0	0	
7	340	153	80	55	78	95	120	139	145	158	130	109	88	86	181	136	143	144	203	76	24	31	88	141	91	27	136	0	
5	251	143	74	54	57	51	46	50	52	58	58	50	22	35	46	39	32	36	26	20	19	7	11	10	9	13	125	0	
